pref,year,sex,age_cat,value
total,1965,Men,0-4,4149581
total,1965,Men,5-9,3995011
total,1965,Men,10-14,4670170
total,1965,Men,15-19,5478341
total,1965,Men,20-24,4496297
total,1965,Men,25-29,4157028
total,1965,Men,30-34,4147254
total,1965,Men,35-39,3747509
total,1965,Men,40-44,2729666
total,1965,Men,45-49,2224594
total,1965,Men,50-54,2172903
total,1965,Men,55-59,1930469
total,1965,Men,60-64,1625089
total,1965,Men,65-69,1218867
total,1965,Men,70-74,788994
total,1965,Men,75-79,451871
total,1965,Men,80-84,186946
total,1965,Men,85-89,60127
total,1965,Men,90-,13728
total,1965,Women,0-4,3983902
total,1965,Women,5-9,3854281
total,1965,Women,10-14,4513237
total,1965,Women,15-19,5373547
total,1965,Women,20-24,4572392
total,1965,Women,25-29,4206801
total,1965,Women,30-34,4110076
total,1965,Women,35-39,3751030
total,1965,Women,40-44,3231736
total,1965,Women,45-49,2697217
total,1965,Women,50-54,2485095
total,1965,Women,55-59,2071540
total,1965,Women,60-64,1719370
total,1965,Women,65-69,1343444
total,1965,Women,70-74,955567
total,1965,Women,75-79,644043
total,1965,Women,80-84,341170
total,1965,Women,85-89,139031
total,1965,Women,90-,37037
total,1970,Men,0-4,4513316
total,1970,Men,5-9,4170955
total,1970,Men,10-14,4006290
total,1970,Men,15-19,4571502
total,1970,Men,20-24,5312991
total,1970,Men,25-29,4517248
total,1970,Men,30-34,4181687
total,1970,Men,35-39,4121574
total,1970,Men,40-44,3665821
total,1970,Men,45-49,2678682
total,1970,Men,50-54,2157091
total,1970,Men,55-59,2042055
total,1970,Men,60-64,1755397
total,1970,Men,65-69,1399180
total,1970,Men,70-74,961641
total,1970,Men,75-79,531898
total,1970,Men,80-84,241356
total,1970,Men,85-89,71568
total,1970,Men,90-,17532
total,1970,Women,0-4,4292503
total,1970,Women,5-9,3988292
total,1970,Women,10-14,3852101
total,1970,Women,15-19,4492096
total,1970,Women,20-24,5347327
total,1970,Women,25-29,4571868
total,1970,Women,30-34,4190340
total,1970,Women,35-39,4085338
total,1970,Women,40-44,3674127
total,1970,Women,45-49,3198934
total,1970,Women,50-54,2648360
total,1970,Women,55-59,2382691
total,1970,Women,60-64,1970485
total,1970,Women,65-69,1584699
total,1970,Women,70-74,1172155
total,1970,Women,75-79,736258
total,1970,Women,80-84,408191
total,1970,Women,85-89,158106
total,1970,Women,90-,48405
total,1975,Men,0-4,5130215
total,1975,Men,5-9,4586206
total,1975,Men,10-14,4239401
total,1975,Men,15-19,4042530
total,1975,Men,20-24,4566068
total,1975,Men,25-29,5429312
total,1975,Men,30-34,4627167
total,1975,Men,35-39,4214912
total,1975,Men,40-44,4127361
total,1975,Men,45-49,3658538
total,1975,Men,50-54,2618229
total,1975,Men,55-59,2073831
total,1975,Men,60-64,1936901
total,1975,Men,65-69,1572103
total,1975,Men,70-74,1148561
total,1975,Men,75-79,688689
total,1975,Men,80-84,307934
total,1975,Men,85-89,100983
total,1975,Men,90-,21732
total,1975,Women,0-4,4874580
total,1975,Women,5-9,4355558
total,1975,Women,10-14,4046129
total,1975,Women,15-19,3909335
total,1975,Women,20-24,4509215
total,1975,Women,25-29,5369762
total,1975,Women,30-34,4622463
total,1975,Women,35-39,4210905
total,1975,Women,40-44,4100128
total,1975,Women,45-49,3705922
total,1975,Women,50-54,3165799
total,1975,Women,55-59,2601684
total,1975,Women,60-64,2348553
total,1975,Women,65-69,1878322
total,1975,Women,70-74,1428350
total,1975,Women,75-79,952962
total,1975,Women,80-84,501077
total,1975,Women,85-89,208196
total,1975,Women,90-,60030
total,1980,Men,0-4,4369670
total,1980,Men,5-9,5146813
total,1980,Men,10-14,4598674
total,1980,Men,15-19,4227332
total,1980,Men,20-24,3963982
total,1980,Men,25-29,4549523
total,1980,Men,30-34,5426352
total,1980,Men,35-39,4598788
total,1980,Men,40-44,4162599
total,1980,Men,45-49,4036514
total,1980,Men,50-54,3549775
total,1980,Men,55-59,2513338
total,1980,Men,60-64,1947417
total,1980,Men,65-69,1744989
total,1980,Men,70-74,1318634
total,1980,Men,75-79,849319
total,1980,Men,80-84,417998
total,1980,Men,85-89,138814
total,1980,Men,90-,33238
total,1980,Women,0-4,4150880
total,1980,Women,5-9,4891452
total,1980,Women,10-14,4366503
total,1980,Women,15-19,4050147
total,1980,Women,20-24,3882502
total,1980,Women,25-29,4497679
total,1980,Women,30-34,5352335
total,1980,Women,35-39,4608725
total,1980,Women,40-44,4180156
total,1980,Women,45-49,4058788
total,1980,Women,50-54,3654393
total,1980,Women,55-59,3103202
total,1980,Women,60-64,2520185
total,1980,Women,65-69,2221777
total,1980,Women,70-74,1705891
total,1980,Women,75-79,1188377
total,1980,Women,80-84,676136
total,1980,Women,85-89,271333
total,1980,Women,90-,86166
total,1985,Men,0-4,3820448
total,1985,Men,5-9,4374990
total,1985,Men,10-14,5149358
total,1985,Men,15-19,4602665
total,1985,Men,20-24,4168204
total,1985,Men,25-29,3950221
total,1985,Men,30-34,4560404
total,1985,Men,35-39,5400811
total,1985,Men,40-44,4554061
total,1985,Men,45-49,4094044
total,1985,Men,50-54,3928176
total,1985,Men,55-59,3410816
total,1985,Men,60-64,2380876
total,1985,Men,65-69,1781725
total,1985,Men,70-74,1504195
total,1985,Men,75-79,1017825
total,1985,Men,80-84,542441
total,1985,Men,85-89,203395
total,1985,Men,90-,52661
total,1985,Women,0-4,3641285
total,1985,Women,5-9,4159701
total,1985,Women,10-14,4896328
total,1985,Women,15-19,4380580
total,1985,Women,20-24,4035567
total,1985,Women,25-29,3875972
total,1985,Women,30-34,4497027
total,1985,Women,35-39,5341124
total,1985,Women,40-44,4584182
total,1985,Women,45-49,4145460
total,1985,Women,50-54,4007492
total,1985,Women,55-59,3591143
total,1985,Women,60-64,3026245
total,1985,Women,65-69,2412883
total,1985,Women,70-74,2060204
total,1985,Women,75-79,1476200
total,1985,Women,80-84,890862
total,1985,Women,85-89,400284
total,1985,Women,90-,129068
total,1990,Men,0-4,3337729
total,1990,Men,5-9,3835026
total,1990,Men,10-14,4384951
total,1990,Men,15-19,5141504
total,1990,Men,20-24,4487660
total,1990,Men,25-29,4095197
total,1990,Men,30-34,3940200
total,1990,Men,35-39,4541293
total,1990,Men,40-44,5369719
total,1990,Men,45-49,4499227
total,1990,Men,50-54,4012193
total,1990,Men,55-59,3797013
total,1990,Men,60-64,3247563
total,1990,Men,65-69,2202117
total,1990,Men,70-74,1565121
total,1990,Men,75-79,1201428
total,1990,Men,80-84,680610
total,1990,Men,85-89,276578
total,1990,Men,90-,81595
total,1990,Women,0-4,3171967
total,1990,Women,5-9,3650504
total,1990,Women,10-14,4163485
total,1990,Women,15-19,4893153
total,1990,Women,20-24,4339987
total,1990,Women,25-29,3999329
total,1990,Women,30-34,3868811
total,1990,Women,35-39,4486286
total,1990,Women,40-44,5317154
total,1990,Women,45-49,4543420
total,1990,Women,50-54,4098015
total,1990,Women,55-59,3947920
total,1990,Women,60-64,3513925
total,1990,Women,65-69,2913236
total,1990,Women,70-74,2260998
total,1990,Women,75-79,1823523
total,1990,Women,80-84,1156226
total,1990,Women,85-89,558216
total,1990,Women,90-,208288
total,1995,Men,0-4,3074190
total,1995,Men,5-9,3354276
total,1995,Men,10-14,3832044
total,1995,Men,15-19,4392017
total,1995,Men,20-24,5049525
total,1995,Men,25-29,4459361
total,1995,Men,30-34,4120205
total,1995,Men,35-39,3951457
total,1995,Men,40-44,4533679
total,1995,Men,45-49,5336032
total,1995,Men,50-54,4428374
total,1995,Men,55-59,3912350
total,1995,Men,60-64,3617022
total,1995,Men,65-69,3002640
total,1995,Men,70-74,1944036
total,1995,Men,75-79,1261998
total,1995,Men,80-84,825534
total,1995,Men,85-89,362405
total,1995,Men,90-,117253
total,1995,Women,0-4,2927095
total,1995,Women,5-9,3192811
total,1995,Women,10-14,3653079
total,1995,Women,15-19,4174971
total,1995,Women,20-24,4857421
total,1995,Women,25-29,4339229
total,1995,Women,30-34,4015406
total,1995,Women,35-39,3878950
total,1995,Women,40-44,4481666
total,1995,Women,45-49,5293654
total,1995,Women,50-54,4503263
total,1995,Women,55-59,4049599
total,1995,Women,60-64,3865679
total,1995,Women,65-69,3399471
total,1995,Women,70-74,2755260
total,1995,Women,75-79,2029865
total,1995,Women,80-84,1477147
total,1995,Women,85-89,775320
total,1995,Women,90-,325962
total,2000,Men,0-4,3029651
total,2000,Men,5-9,3090566
total,2000,Men,10-14,3360805
total,2000,Men,15-19,3843081
total,2000,Men,20-24,4318376
total,2000,Men,25-29,4977917
total,2000,Men,30-34,4448095
total,2000,Men,35-39,4106431
total,2000,Men,40-44,3933456
total,2000,Men,45-49,4478195
total,2000,Men,50-54,5222393
total,2000,Men,55-59,4300559
total,2000,Men,60-64,3758463
total,2000,Men,65-69,3365041
total,2000,Men,70-74,2676189
total,2000,Men,75-79,1629389
total,2000,Men,80-84,917277
total,2000,Men,85-89,478134
total,2000,Men,90-,176746
total,2000,Women,0-4,2885139
total,2000,Women,5-9,2941942
total,2000,Women,10-14,3197310
total,2000,Women,15-19,3658735
total,2000,Women,20-24,4119698
total,2000,Women,25-29,4831402
total,2000,Women,30-34,4345505
total,2000,Women,35-39,4023734
total,2000,Women,40-44,3880840
total,2000,Women,45-49,4453715
total,2000,Women,50-54,5238466
total,2000,Women,55-59,4449490
total,2000,Women,60-64,3991240
total,2000,Women,65-69,3753144
total,2000,Women,70-74,3234047
total,2000,Women,75-79,2527655
total,2000,Women,80-84,1701358
total,2000,Women,85-89,1056448
total,2000,Women,90-,525211
total,2005,Men,0-4,2867493
total,2005,Men,5-9,3050064
total,2005,Men,10-14,3094073
total,2005,Men,15-19,3388605
total,2005,Men,20-24,3774041
total,2005,Men,25-29,4219865
total,2005,Men,30-34,4958230
total,2005,Men,35-39,4425269
total,2005,Men,40-44,4085442
total,2005,Men,45-49,3885224
total,2005,Men,50-54,4402778
total,2005,Men,55-59,5100776
total,2005,Men,60-64,4174175
total,2005,Men,65-69,3561481
total,2005,Men,70-74,3053372
total,2005,Men,75-79,2265972
total,2005,Men,80-84,1227814
total,2005,Men,85-89,557464
total,2005,Men,90-,256839
total,2005,Women,0-4,2731355
total,2005,Women,5-9,2900079
total,2005,Women,10-14,2941946
total,2005,Women,15-19,3203984
total,2005,Women,20-24,3607256
total,2005,Women,25-29,4094524
total,2005,Women,30-34,4836979
total,2005,Women,35-39,4346760
total,2005,Women,40-44,4027308
total,2005,Women,45-49,3869320
total,2005,Women,50-54,4425513
total,2005,Women,55-59,5192792
total,2005,Women,60-64,4403144
total,2005,Women,65-69,3898920
total,2005,Women,70-74,3607844
total,2005,Women,75-79,3014519
total,2005,Women,80-84,2195473
total,2005,Women,85-89,1297499
total,2005,Women,90-,823802
total,2010,Men,0-4,2716715
total,2010,Men,5-9,2866155
total,2010,Men,10-14,3038596
total,2010,Men,15-19,3127202
total,2010,Men,20-24,3327315
total,2010,Men,25-29,3755073
total,2010,Men,30-34,4273258
total,2010,Men,35-39,5002095
