id,表章項目,男女_時系列,地域_時系列,時間軸(調査年),unit,value
1,人口,総数,北海道,1920年,人,2359183
2,人口,総数,北海道,1925年,人,2498679
3,人口,総数,北海道,1930年,人,2812335
4,人口,総数,北海道,1935年,人,3068282
5,人口,総数,北海道,1940年,人,3272718
6,人口,総数,北海道,1945年,人,3518389
7,人口,総数,北海道,1950年,人,4295567
8,人口,総数,北海道,1955年,人,4773087
9,人口,総数,北海道,1960年,人,5039206
10,人口,総数,北海道,1965年,人,5171800
11,人口,総数,北海道,1970年,人,5184287
12,人口,総数,北海道,1975年,人,5338206
13,人口,総数,北海道,1980年,人,5575989
14,人口,総数,北海道,1985年,人,5679439
15,人口,総数,北海道,1990年,人,5643647
16,人口,総数,北海道,1995年,人,5692321
17,人口,総数,北海道,2000年,人,5683062
18,人口,総数,北海道,2005年,人,5627737
19,人口,総数,北海道,2010年,人,5506419
20,人口,総数,北海道,2015年,人,5381733
21,人口,総数,北海道,2020年,人,5224614
22,人口,総数,青森県,1920年,人,756454
23,人口,総数,青森県,1925年,人,812977
24,人口,総数,青森県,1930年,人,879914
25,人口,総数,青森県,1935年,人,967129
26,人口,総数,青森県,1940年,人,1000509
27,人口,総数,青森県,1945年,人,1083250
28,人口,総数,青森県,1950年,人,1282867
29,人口,総数,青森県,1955年,人,1382523
30,人口,総数,青森県,1960年,人,1426606
31,人口,総数,青森県,1965年,人,1416591
32,人口,総数,青森県,1970年,人,1427520
33,人口,総数,青森県,1975年,人,1468646
34,人口,総数,青森県,1980年,人,1523907
35,人口,総数,青森県,1985年,人,1524448
36,人口,総数,青森県,1990年,人,1482873
37,人口,総数,青森県,1995年,人,1481663
38,人口,総数,青森県,2000年,人,1475728
39,人口,総数,青森県,2005年,人,1436657
40,人口,総数,青森県,2010年,人,1373339
41,人口,総数,青森県,2015年,人,1308265
42,人口,総数,青森県,2020年,人,1237984
43,人口,総数,岩手県,1920年,人,845540
44,人口,総数,岩手県,1925年,人,900984
45,人口,総数,岩手県,1930年,人,975771
46,人口,総数,岩手県,1935年,人,1046111
47,人口,総数,岩手県,1940年,人,1095793
48,人口,総数,岩手県,1945年,人,1227789
49,人口,総数,岩手県,1950年,人,1346728
50,人口,総数,岩手県,1955年,人,1427097
51,人口,総数,岩手県,1960年,人,1448517
52,人口,総数,岩手県,1965年,人,1411118
53,人口,総数,岩手県,1970年,人,1371383
54,人口,総数,岩手県,1975年,人,1385563
55,人口,総数,岩手県,1980年,人,1421927
56,人口,総数,岩手県,1985年,人,1433611
57,人口,総数,岩手県,1990年,人,1416928
58,人口,総数,岩手県,1995年,人,1419505
59,人口,総数,岩手県,2000年,人,1416180
60,人口,総数,岩手県,2005年,人,1385041
61,人口,総数,岩手県,2010年,人,1330147
62,人口,総数,岩手県,2015年,人,1279594
63,人口,総数,岩手県,2020年,人,1210534
64,人口,総数,宮城県,1920年,人,961768
65,人口,総数,宮城県,1925年,人,1044036
66,人口,総数,宮城県,1930年,人,1142784
67,人口,総数,宮城県,1935年,人,1234801
68,人口,総数,宮城県,1940年,人,1271238
69,人口,総数,宮城県,1945年,人,1462254
70,人口,総数,宮城県,1950年,人,1663442
71,人口,総数,宮城県,1955年,人,1727065
72,人口,総数,宮城県,1960年,人,1743195
73,人口,総数,宮城県,1965年,人,1753126
74,人口,総数,宮城県,1970年,人,1819223
75,人口,総数,宮城県,1975年,人,1955267
76,人口,総数,宮城県,1980年,人,2082320
77,人口,総数,宮城県,1985年,人,2176295
78,人口,総数,宮城県,1990年,人,2248558
79,人口,総数,宮城県,1995年,人,2328739
80,人口,総数,宮城県,2000年,人,2365320
81,人口,総数,宮城県,2005年,人,2360218
82,人口,総数,宮城県,2010年,人,2348165
83,人口,総数,宮城県,2015年,人,2333899
