pref,year,value
北海道,2015,5381733
北海道,2020,5216615
北海道,2025,5016554
北海道,2030,4791592
北海道,2035,4546357
北海道,2040,4280427
北海道,2045,4004973
青森県,2015,1308265
青森県,2020,1235971
青森県,2025,1157332
青森県,2030,1076393
青森県,2035,993737
青森県,2040,908974
青森県,2045,823610
岩手県,2015,1279594
岩手県,2020,1224194
岩手県,2025,1161638
岩手県,2030,1096141
岩手県,2035,1028673
岩手県,2040,957788
岩手県,2045,884518
宮城県,2015,2333899
宮城県,2020,2296113
宮城県,2025,2227471
宮城県,2030,2143601
宮城県,2035,2046219
宮城県,2040,1933258
宮城県,2045,1809021
秋田県,2015,1023119
秋田県,2020,955838
秋田県,2025,885285
秋田県,2030,814295
秋田県,2035,744014
秋田県,2040,672617
秋田県,2045,601649
山形県,2015,1123891
山形県,2020,1072473
山形県,2025,1015910
山形県,2030,957314
山形県,2035,897075
山形県,2040,833844
山形県,2045,768490
福島県,2015,1914039
福島県,2020,1827632
福島県,2025,1733103
福島県,2030,1635235
福島県,2035,1533521
福島県,2040,1426392
福島県,2045,1314903
茨城県,2015,2916976
茨城県,2020,2844791
茨城県,2025,2750204
茨城県,2030,2638185
茨城県,2035,2512144
茨城県,2040,2376146
茨城県,2045,2235686
栃木県,2015,1974255
栃木県,2020,1930235
栃木県,2025,1872842
栃木県,2030,1805949
栃木県,2035,1730414
栃木県,2040,1647288
栃木県,2045,1560619
群馬県,2015,1973115
群馬県,2020,1926268
群馬県,2025,1865565
群馬県,2030,1796233
群馬県,2035,1719914
群馬県,2040,1637642
群馬県,2045,1552950
埼玉県,2015,7266534
埼玉県,2020,7272830
埼玉県,2025,7202953
埼玉県,2030,7076167
埼玉県,2035,6909319
埼玉県,2040,6721414
埼玉県,2045,6524800
千葉県,2015,6222666
千葉県,2020,6204651
千葉県,2025,6118170
千葉県,2030,5985915
千葉県,2035,5822882
千葉県,2040,5645611
千葉県,2045,5463363
東京都,2015,13515271
東京都,2020,13732951
東京都,2025,13845936
東京都,2030,13882538
東京都,2035,13851782
東京都,2040,13758624
東京都,2045,13606683
神奈川県,2015,9126214
神奈川県,2020,9141394
神奈川県,2025,9069562
神奈川県,2030,8933474
神奈川県,2035,8750958
神奈川県,2040,8541016
神奈川県,2045,8312524
新潟県,2015,2304264
新潟県,2020,2223647
新潟県,2025,2131156
新潟県,2030,2031445
新潟県,2035,1926432
新潟県,2040,1814665
新潟県,2045,1698989
富山県,2015,1066328
富山県,2020,1034691
富山県,2025,996442
富山県,2030,954745
富山県,2035,910161
富山県,2040,863342
富山県,2045,817398
石川県,2015,1154008
石川県,2020,1133021
石川県,2025,1104368
石川県,2030,1070727
石川県,2035,1032500
石川県,2040,990439
石川県,2045,947918
福井県,2015,786740
福井県,2020,764081
福井県,2025,737898
福井県,2030,709753
福井県,2035,679595
福井県,2040,647241
福井県,2045,614144
山梨県,2015,834930
山梨県,2020,800729
山梨県,2025,763274
山梨県,2030,724352
山梨県,2035,683945
山梨県,2040,641932
山梨県,2045,598935
長野県,2015,2098804
長野県,2020,2033235
長野県,2025,1957953
長野県,2030,1877667
長野県,2035,1793174
長野県,2040,1704857
長野県,2045,1614511
岐阜県,2015,2031903
岐阜県,2020,1972964
岐阜県,2025,1901131
岐阜県,2030,1820918
岐阜県,2035,1735195
岐阜県,2040,1645898
岐阜県,2045,1556529
静岡県,2015,3700305
静岡県,2020,3615586
静岡県,2025,3506064
静岡県,2030,3380104
静岡県,2035,3241803
静岡県,2040,3094264
静岡県,2045,2942865
愛知県,2015,7483128
愛知県,2020,7505224
愛知県,2025,7455615
愛知県,2030,7359302
愛知県,2035,7227958
愛知県,2040,7070766
愛知県,2045,6899465
三重県,2015,1815865
三重県,2020,1768098
三重県,2025,1709820
三重県,2030,1645050
三重県,2035,1575867
三重県,2040,1503635
三重県,2045,1430804
滋賀県,2015,1412916
滋賀県,2020,1409153
滋賀県,2025,1394593
滋賀県,2030,1371841
滋賀県,2035,1341440
滋賀県,2040,1304201
滋賀県,2045,1262924
京都府,2015,2610353
京都府,2020,2573772
京都府,2025,2509875
京都府,2030,2430849
京都府,2035,2338843
京都府,2040,2238226
京都府,2045,2136807
大阪府,2015,8839469
大阪府,2020,8732289
大阪府,2025,8526202
大阪府,2030,8262029
大阪府,2035,7962983
大阪府,2040,7649229
大阪府,2045,7335352
兵庫県,2015,5534800
兵庫県,2020,5443224
兵庫県,2025,5306083
兵庫県,2030,5139095
兵庫県,2035,4948778
兵庫県,2040,4742647
兵庫県,2045,4532499
奈良県,2015,1364316
奈良県,2020,1320075
奈良県,2025,1264574
奈良県,2030,1202479
奈良県,2035,1135578
奈良県,2040,1066267
奈良県,2045,998076
和歌山県,2015,963579
