year,死亡,出生,value
2015,低位,低位,127094745
2015,低位,中位,127094745
2015,低位,高位,127094745
2015,中位,低位,127094745
2015,中位,中位,127094745
2015,中位,高位,127094745
2015,高位,低位,127094745
2015,高位,中位,127094745
2015,高位,高位,127094745
2016,低位,低位,126886523
2016,低位,中位,126911737
2016,低位,高位,126937836
2016,中位,低位,126812489
2016,中位,中位,126837700
2016,中位,高位,126863795
2016,高位,低位,126732894
2016,高位,中位,126758101
2016,高位,高位,126784192
2017,低位,低位,126633966
2017,低位,中位,126703752
2017,低位,高位,126776583
2017,中位,低位,126462597
2017,中位,中位,126532370
2017,中位,高位,126605187
2017,高位,低位,126279077
2017,高位,中位,126348834
2017,高位,高位,126421634
2018,低位,低位,126309859
2018,低位,中位,126441150
2018,低位,高位,126579678
2018,中位,低位,126045744
2018,中位,中位,126177003
2018,中位,高位,126315498
2018,高位,低位,125764111
2018,高位,中位,125895334
2018,高位,高位,126033791
2019,低位,低位,125914084
2019,低位,中位,126125253
2019,低位,高位,126350866
2019,中位,低位,125561832
2019,中位,中位,125772945
2019,中位,高位,125998497
2019,高位,低位,125187778
2019,高位,中位,125398826
2019,高位,高位,125624309
2020,低位,低位,125452258
2020,低位,中位,125760718
2020,低位,高位,126094449
2020,中位,低位,125016472
2020,中位,中位,125324842
2020,中位,高位,125658474
2020,高位,低位,124555531
2020,高位,中位,124863797
2020,高位,高位,125197317
2021,低位,低位,124931358
2021,低位,中位,125351101
2021,低位,高位,125810342
2021,中位,低位,124416579
2021,中位,中位,124836189
2021,中位,高位,125295287
2021,高位,低位,123874080
2021,高位,中位,124293539
2021,高位,高位,124752471
2022,低位,低位,124359314
2022,低位,中位,124899763
2022,低位,高位,125496341
2022,中位,低位,123769970
2022,中位,中位,124310239
2022,中位,高位,124906617
2022,高位,低位,123151009
2022,高位,中位,123691071
2022,高位,高位,124287221
2023,低位,低位,123744169
2023,低位,中位,124410448
2023,低位,高位,125150549
2023,中位,低位,123084545
2023,中位,中位,123750589
2023,中位,高位,124490429
